cluster	gene
ADHD	TNFAIP8L3
ADHD	TNKS
ADHD	TNR
ADHD	TPCN2
ADHD	TPMT
ADHD	TRABD2A
ADHD	TRAIP
ADHD	TRIM59
ADHD	TSPAN4
ADHD	TULP4
ADHD	TUSC3
ADHD	TXNL4B
ADHD	UBA7
ADHD	UBE2D3
ADHD	UBE2J1
ADHD	UBE2Z
ADHD	UBQLN1
ADHD	UGP2
ADHD	ULK4
ADHD	USB1
ADHD	USP19
ADHD	VAMP3
ADHD	VENTXP7
ADHD	VPS54
ADHD	WARS2
ADHD	WASF3
ADHD	WBP4
ADHD	WBSCR17
ADHD	WDR11
ADHD	WDR11-AS1
ADHD	WDR12
ADHD	WDR65
ADHD	WDSUB1
ADHD	WIPF3
ADHD	WWOX
ADHD	XCL1
ADHD	XCL2
ADHD	XRN2
ADHD	YPEL4
ADHD	ZAK
ADHD	ZBTB8A
ADHD	ZBTB8OS
ADHD	ZBTB9
ADHD	ZDHHC17
ADHD	ZDHHC5
ADHD	ZDHHC7
ADHD	ZFP1
ADHD	ZFPM2
ADHD	ZMIZ1
ADHD	ZNF319
ADHD	ZNF462
ADHD	ZNF521
ADHD	ZNF593
ADHD	ZNF606
ADHD	ZNF641
ADHD	ZNRF1
ADHD	ZSCAN1
ASD	ABCB5
ASD	ABCC5
ASD	ABCC5-AS1
ASD	ACSF2
ASD	ACVRL1
ASD	ADAM12
ASD	ADAMTS2
ASD	ADAMTS9-AS2
ASD	ALPK3
ASD	ANK3
ASD	ANKRD20A19P
ASD	ANKRD30B
ASD	ANKRD33
ASD	APOL2
ASD	APOL3
ASD	APOL4
ASD	ARHGEF33
ASD	ASB4
ASD	ASIC5
ASD	ASTN2
ASD	ATF4
ASD	ATXN3
ASD	B3GALT1
ASD	BLK
ASD	BLM
ASD	BNIP3
ASD	BORA
ASD	C10orf40
ASD	C17orf51
ASD	C19orf81
ASD	C1orf109
ASD	C1QTNF9B
ASD	C1QTNF9B-AS1
ASD	C21orf128
ASD	C5orf15
ASD	C5orf45
ASD	C7orf33
ASD	C8orf12
ASD	C8orf74
ASD	CACNA1I
ASD	CACNG2
ASD	CAMSAP3
ASD	CARHSP1
ASD	CAV1
ASD	CAV2
ASD	CCDC148
ASD	CCNE1
ASD	CDCA8
ASD	CDH13
ASD	CDR2L
ASD	CEP120
ASD	CHAD
ASD	CLIC5
ASD	CPSF2
ASD	CTRB1
ASD	CTRB2
ASD	CTSO
ASD	CUBN
ASD	CUL1
ASD	CYP4F12
ASD	CYP4F24P
ASD	DHX30
ASD	DSCAM
ASD	DYNLT1
ASD	EIF3D
ASD	ENPP4
ASD	ENPP5
ASD	EPB41
ASD	EPHA10
ASD	ERI1
ASD	EVI2A
ASD	EVI2B
ASD	EXOC4
ASD	FAM167A
ASD	FAM20A
ASD	FAM41C
ASD	FBF1
ASD	FGGY
ASD	FHIT
ASD	FLJ22763
ASD	FLJ37201
ASD	FOXB2
ASD	FOXP1
ASD	FOXRED2
ASD	FURIN
ASD	GALNT10
ASD	GALNT15
ASD	GBGT1
ASD	GCNT1
ASD	GK5
ASD	GLDC
ASD	GLYAT
ASD	GRM7
ASD	GUCY1A2
ASD	HCG4
ASD	HCG4B
ASD	HCG9
ASD	HDAC9
ASD	HID1
ASD	HLA-A
ASD	HLA-B
ASD	HLA-C
ASD	HLA-DQA1
ASD	HLA-DQB1
ASD	HLA-F
ASD	HLA-F-AS1
ASD	HLA-G
ASD	HLA-H
ASD	HLA-J
ASD	HPCAL1
ASD	HTR3C
ASD	HTR3D
ASD	ICT1
ASD	IDH2
ASD	IFITM4P
ASD	IQGAP2
ASD	IRF2BP2
ASD	KAT6A
ASD	KIF20B
ASD	KLHL29
ASD	KLHL6
ASD	LDHD
ASD	LINC00184
ASD	LINC00326
ASD	LINC00417
ASD	LINC00488
ASD	LINC00535
ASD	LINC00536
ASD	LINC00888
ASD	LOC100128505
ASD	LOC100130417
ASD	LOC153910
ASD	LOC256021
